,permalink,company_name,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at,days_in_op,first_funding_dayinop,last_funding_dayinop,sa_funded_at,sa_raised_amount_usd,sa_funded_daysop,ag_funded_at,ag_raised_amount_usd,ve_funded_at,ve_raised_amount_usd,cr_funded_at,cr_raised_amount_usd,cr_funded_daysop,ag_funded_daysop,ve_funded_daysop,CA,NY,MA,TX,WA,ave_inf_y,adj_base2018,sa_raised_amount_usd_adj,ag_raised_amount_usd_adj,ve_raised_amount_usd_adj,cr_raised_amount_usd_adj
0,/company/waywire,#waywire,news,1750000,operating,USA,NY,New York,New York,1,2012-06-01,6,2012-Q2,2012,2012-06-30,2012-06-30,2013-09-06,487 days 00:00:00.000000000,29.0,29 days 00:00:00.000000000,2012-06-30 00:00:00,1750000.0,29.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,22.19131313,0.91,1592500.0,0.0,0.0,0.0
1,/company/1000memories,1000memories,web,2535000,acquired,USA,CA,SF Bay,San Francisco,2,2010-07-01,7,2010-Q3,2010,2010-01-01,2011-02-16,2013-07-04,1188 days 00:00:00.000000000,-181.0,230 days 00:00:00.000000000,2011-02-16 00:00:00,2520000.0,230.0,2010-01-01 00:00:00,15000.0,0,0.0,0,0.0,0.0,-181.0,0.0,1,0,0,0,0,21.02585859,0.87,2192400.0,13050.0,0.0,0.0
2,/company/100plus,100Plus,analytics,1250000,acquired,USA,CA,SF Bay,San Francisco,2,2011-09-16,9,2011-Q3,2011,2011-11-02,2011-11-30,2013-02-27,746 days 00:00:00.000000000,47.0,75 days 00:00:00.000000000,0,0.0,0.0,2011-11-30 00:00:00,750000.0,2011-11-02 00:00:00,500000.0,0,0.0,0.0,75.0,47.0,1,0,0,0,0,21.72111111,0.89,0.0,667500.0,445000.0,0.0
3,/company/1010data,1010data,software,35000000,operating,USA,NY,New York,New York,1,2000-01-01,1,2000-Q1,2000,2010-03-08,2010-03-08,2012-01-01,5022 days 00:00:00.000000000,3719.0,3719 days 00:00:00.000000000,0,0.0,0.0,0,0.0,2010-03-08 00:00:00,35000000.0,0,0.0,0.0,0.0,3719.0,0,1,0,0,0,16.39393939,0.68,0.0,0.0,23800000.0,0.0
4,/company/121nexus,121nexus,software,719000,operating,USA,RI,Providence,Providence,4,2011-10-07,10,2011-Q4,2011,2012-02-06,2013-07-01,2012-04-27,725 days 00:00:00.000000000,122.0,633 days 00:00:00.000000000,0,0.0,0.0,2012-02-06 00:00:00,569000.0,0,0.0,0,0.0,0.0,122.0,0.0,0,0,0,0,0,21.72111111,0.89,0.0,506410.0,0.0,0.0
5,/company/1366-technologies,1366 Technologies,manufacturing,48950000,operating,USA,MA,Boston,Lexington,6,2007-01-01,1,2007-Q1,2007,2008-03-27,2011-02-07,2011-06-17,2465 days 00:00:00.000000000,451.0,1498 days 00:00:00.000000000,2008-03-27 00:00:00,12400000.0,451.0,0,0.0,2010-02-03 00:00:00,5150000.0,0,0.0,0.0,0.0,1129.0,0,0,1,0,0,19.94363636,0.82,10168000.0,0.0,4223000.0,0.0
6,/company/140-proof,140 Proof,advertising,5500000,operating,USA,CA,SF Bay,San Francisco,2,2010-01-11,1,2010-Q1,2010,2009-07-01,2011-04-28,2013-01-24,1359 days 00:00:00.000000000,-194.0,472 days 00:00:00.000000000,2009-07-01 00:00:00,3000000.0,-194.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,21.02585859,0.87,2610000.0,0.0,0.0,0.0
7,/company/140fire,140Fire,advertising,500000,operating,USA,CA,Los Angeles,Santa Monica,1,2010-01-01,1,2010-Q1,2010,2010-05-05,2010-05-05,2011-02-24,1369 days 00:00:00.000000000,124.0,124 days 00:00:00.000000000,0,0.0,0.0,2010-05-05 00:00:00,500000.0,0,0.0,0,0.0,0.0,124.0,0.0,1,0,0,0,0,21.02585859,0.87,0.0,435000.0,0.0,0.0
8,/company/15five,15Five,software,1200000,operating,USA,CA,SF Bay,San Francisco,2,2011-05-01,5,2011-Q2,2011,2012-01-01,2013-01-15,2013-09-19,884 days 00:00:00.000000000,245.0,625 days 00:00:00.000000000,0,0.0,0.0,2012-01-01 00:00:00,200000.0,2013-01-15 00:00:00,1000000.0,0,0.0,0.0,245.0,625.0,1,0,0,0,0,21.72111111,0.89,0.0,178000.0,890000.0,0.0
9,/company/169-st,169 ST.,games_video,50000,operating,USA,FL,Orlando,Lake Mary,1,2009-05-15,5,2009-Q2,2009,2009-06-01,2009-06-01,2009-05-01,1600 days 00:00:00.000000000,17.0,17 days 00:00:00.000000000,0,0.0,0.0,2009-06-01 00:00:00,50000.0,0,0.0,0,0.0,0.0,17.0,0.0,0,0,0,0,0,20.67040404,0.85,0.0,42500.0,0.0,0.0
10,/company/170-systems,170 Systems,software,14000000,acquired,USA,MA,Boston,Bedford,1,1990-01-01,1,1990-Q1,1990,2002-04-16,2002-04-16,2003-01-01,8674 days 00:00:00.000000000,4488.0,4488 days 00:00:00.000000000,2002-04-16 00:00:00,14000000.0,4488.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,12.2020202,0.52,7280000.0,0.0,0.0,0.0
11,/company/1stdibs,1stdibs,ecommerce,42000000,operating,USA,NY,New York,New York,3,2001-01-01,1,2001-Q1,2001,2011-11-03,2012-12-03,2011-11-01,4656 days 00:00:00.000000000,3958.0,4354 days 00:00:00.000000000,0,0.0,0.0,2012-10-01 00:00:00,0.0,2011-11-03 00:00:00,42000000.0,0,0.0,0.0,4291.0,3958.0,0,1,0,0,0,16.88888889,0.7,0.0,0.0,29399999.999999996,0.0
12,/company/1world-online,1World Online,enterprise,1000000,operating,USA,CA,SF Bay,San Jose,1,2011-12-01,12,2011-Q4,2011,2013-07-02,2013-07-02,2013-07-01,670 days 00:00:00.000000000,579.0,579 days 00:00:00.000000000,2013-07-02 00:00:00,1000000.0,579.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,21.72111111,0.89,890000.0,0.0,0.0,0.0
13,/company/20jeans,20JEANS,ecommerce,1000000,operating,USA,CA,Los Angeles,Los Angeles,2,2012-08-01,8,2012-Q3,2012,2013-02-01,2013-04-18,2012-08-01,426 days 00:00:00.000000000,184.0,260 days 00:00:00.000000000,0,0.0,0.0,2013-02-01 00:00:00,1000000.0,0,0.0,0,0.0,0.0,184.0,0.0,1,0,0,0,0,22.19131313,0.91,0.0,910000.0,0.0,0.0
14,/company/20x200,20x200,ecommerce,2800000,operating,USA,NY,New York,New York,2,2007-09-01,9,2007-Q3,2007,2009-10-01,2010-08-01,2012-10-01,2222 days 00:00:00.000000000,761.0,1065 days 00:00:00.000000000,2009-10-01 00:00:00,2800000.0,761.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,19.94363636,0.82,2296000.0,0.0,0.0,0.0
15,/company/22nd-century-group,22nd Century Group,biotech,4951950,ipo,USA,NY,Clarence,Clarence,4,1998-01-01,1,1998-Q1,1998,2011-12-28,2013-02-06,2013-07-24,5752 days 00:00:00.000000000,5109.0,5515 days 00:00:00.000000000,2012-11-16 00:00:00,2428500.0,5433.0,2013-02-06 00:00:00,67200.0,0,0.0,0,0.0,0.0,5515.0,0.0,0,1,0,0,0,15.46464646,0.65,1578525.0,43680.0,0.0,0.0
16,/company/23andme,23andMe,biotech,160549892,operating,USA,CA,SF Bay,Mountain View,6,2006-04-01,4,2006-Q2,2006,2007-05-01,2012-12-21,2012-09-17,2740 days 00:00:00.000000000,395.0,2456 days 00:00:00.000000000,2007-05-01 00:00:00,9000000.0,395.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,19.36363636,0.8,7200000.0,0.0,0.0,0.0
17,/company/250ok,250ok,software,200000,operating,USA,IN,Indianapolis,Indianapolis,1,2012-01-01,1,2012-Q1,2012,2012-09-01,2012-09-01,2012-05-01,639 days 00:00:00.000000000,244.0,244 days 00:00:00.000000000,0,0.0,0.0,2012-09-01 00:00:00,200000.0,0,0.0,0,0.0,0.0,244.0,0.0,0,0,0,0,0,22.19131313,0.91,0.0,182000.0,0.0,0.0
18,/company/27-perry,27 Perry,ecommerce,118000,closed,USA,CO,Denver,Boulder,1,2012-07-25,7,2012-Q3,2012,2012-05-17,2012-05-17,2012-07-25,433 days 00:00:00.000000000,-69.0,-69 days +00:00:00.000000000,0,0.0,0.0,2012-05-17 00:00:00,118000.0,0,0.0,0,0.0,0.0,-69.0,0.0,0,0,0,0,0,22.19131313,0.91,0.0,107380.0,0.0,0.0
19,/company/2go-software-solutions,2GO Mobile Solutions,software,825000,operating,USA,TX,Dallas,Plano,1,2008-01-01,1,2008-Q1,2008,2010-01-09,2010-01-09,2009-08-01,2100 days 00:00:00.000000000,739.0,739 days 00:00:00.000000000,0,0.0,0.0,2010-01-09 00:00:00,825000.0,0,0.0,0,0.0,0.0,739.0,0.0,0,0,0,1,0,20.74777778,0.85,0.0,701250.0,0.0,0.0
20,/company/2u,2U,education,90775000,operating,USA,MD,Washington DC,Landover,5,2008-01-01,1,2008-Q1,2008,2009-03-25,2012-04-02,2012-11-15,2100 days 00:00:00.000000000,449.0,1553 days 00:00:00.000000000,2009-03-25 00:00:00,12275000.0,449.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,20.74777778,0.85,10433750.0,0.0,0.0,0.0
21,/company/3-v-biosciences,3-V Biosciences,biotech,70000000,operating,USA,CA,SF Bay,Palo Alto,3,2007-03-01,3,2007-Q1,2007,2009-07-10,2013-06-21,2012-01-01,2406 days 00:00:00.000000000,862.0,2304 days 00:00:00.000000000,0,0.0,0.0,0,0.0,2012-01-05 00:00:00,20000000.0,0,0.0,0.0,0.0,1771.0,1,0,0,0,0,19.94363636,0.82,0.0,0.0,16399999.999999998,0.0
22,/company/30-second-showcase,30 Second Showcase,software,25000,operating,USA,NJ,New York,Clifton,1,2013-04-01,4,2013-Q2,2013,2013-05-20,2013-05-20,2013-05-20,183 days 00:00:00.000000000,49.0,49 days 00:00:00.000000000,0,0.0,0.0,2013-05-20 00:00:00,25000.0,0,0.0,0,0.0,0.0,49.0,0.0,0,0,0,0,0,22.531010100000003,0.92,0.0,23000.0,0.0,0.0
23,/company/33across,33Across,advertising,24134560,operating,USA,NY,New York,New York,4,2007-09-01,9,2007-Q3,2007,2009-03-13,2012-07-19,2013-09-03,2222 days 00:00:00.000000000,559.0,1783 days 00:00:00.000000000,2010-04-22 00:00:00,1284560.0,964.0,2009-03-13 00:00:00,750000.0,0,0.0,0,0.0,0.0,559.0,0.0,0,1,0,0,0,19.94363636,0.82,1053339.2,615000.0,0.0,0.0
24,/company/3clickemr-corporation,3ClickEMR Corporation,software,500000,closed,USA,MA,Boston,West Roxbury,2,2010-06-23,6,2010-Q2,2010,2010-06-23,2011-06-01,2010-06-23,1196 days 00:00:00.000000000,0.0,343 days 00:00:00.000000000,0,0.0,0.0,2010-06-23 00:00:00,500000.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,21.02585859,0.87,0.0,435000.0,0.0,0.0
25,/company/3d-systems,3D Systems,software,4144131,ipo,USA,SC,Rock Hill,Rock Hill,2,1986-01-01,1,1986-Q1,1986,2010-01-13,2012-06-07,2013-06-26,10135 days 00:00:00.000000000,8778.0,9654 days 00:00:00.000000000,2012-06-07 00:00:00,3144131.0,9654.0,0,0.0,2010-01-13 00:00:00,1000000.0,0,0.0,0.0,0.0,8778.0,0,0,0,0,0,10.07070707,0.43,1351976.33,0.0,430000.0,0.0
26,/company/3dcart-shopping-cart-software,3dCart Shopping Cart Software,ecommerce,1250000,operating,USA,FL,Fort Lauderdale,Lauderhill,1,1997-05-01,5,1997-Q2,1997,2010-01-01,2010-01-01,2004-04-01,5997 days 00:00:00.000000000,4628.0,4628 days 00:00:00.000000000,0,0.0,0.0,2010-01-01 00:00:00,1250000.0,0,0.0,0,0.0,0.0,4628.0,0.0,0,0,0,0,0,15.21212121,0.64,0.0,800000.0,0.0,0.0
27,/company/3gear-systems,3Gear Systems,software,349999,operating,USA,CA,SF Bay,San Francisco,1,2010-01-01,1,2010-Q1,2010,2012-03-30,2012-03-30,2012-01-01,1369 days 00:00:00.000000000,819.0,819 days 00:00:00.000000000,0,0.0,0.0,2012-03-30 00:00:00,349999.0,0,0.0,0,0.0,0.0,819.0,0.0,1,0,0,0,0,21.02585859,0.87,0.0,304499.13,0.0,0.0
28,/company/3jam,3Jam,mobile,4000000,operating,USA,CA,SF Bay,San Francisco,1,2005-01-01,1,2005-Q1,2005,2007-07-01,2007-07-01,2009-12-21,3195 days 00:00:00.000000000,911.0,911 days 00:00:00.000000000,2007-07-01 00:00:00,4000000.0,911.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,18.72727273,0.78,3120000.0,0.0,0.0,0.0
